columns,explained_variance
N47,0.015282350604415677
N48,0.01501169885254295
N49,0.014399643285598644
N50,0.013940367833233158
N51,0.013697968535402352
N52,0.012963599268725425
N53,0.012690501276225037
N54,0.012100502921202967
N55,0.011709655410541857
N56,0.011519694321050723
N57,0.011305031188937062
N58,0.010937081223141406
N59,0.010556902513180517
N60,0.010419991562158592
N61,0.010224223897603829
N62,0.009980704967310025
O1,0.00927428682121381
O2,0.009105581586703715
O3,0.008795652704568797
O4,0.008424917451607424
O5,0.008051010493826793
O6,0.0077599883825595194
O7,0.00756592812306017
O8,0.007293554901061328
O9,0.007095961443829351
O10,0.006876063627514079
O11,0.006714821493329611
O12,0.006667334620753975
O13,0.006407461597099737
O14,0.006253412744318954
O15,0.005998371763280741
O16,0.005819723481895246
O17,0.005699056562721498
O18,0.005553428129826496
O19,0.005533187335517852
O20,0.0053986481904604675
O21,0.00523130519394124
O22,0.005088077987762492
O23,0.004986722471850099
O24,0.004929595102847202
O25,0.004663983580066154
O26,0.0045255042062558115
O27,0.0043549049446742856
O28,0.004313567385605692
O29,0.004207594946153229
O30,0.004158785242462645
O31,0.004121103681021542
F1,0.003951838483644485
F2,0.003784701380794815
F3,0.0037067455646509514
F4,0.003451098049286004
F5,0.0033989291484901292
F6,0.0032923784226769333
F7,0.003197626072000805
F8,0.003059624853399559
P1,0.0029272923224419926
P2,0.0028093054328657027
P3,0.0027026305687192775
P4,0.002567637099745896
P5,0.002430681840036744
P6,0.002356970257625948
S1,0.0023043296713905074
S2,0.0020809111430111003
S3,0.0020456976365666444
S4,0.0020025853945425994
S5,0.0019480954837822
S6,0.0017967236213394567
S7,0.0016888668831348402
S8,0.0016489290773429052
S9,0.0015219363055001462
S10,0.0014658270219478178
S11,0.0014439257092858672
S12,0.0013542306793235402
S13,0.0013003312033439912
S14,0.0012763233963405936
S15,0.0011689461590623626
S16,0.0011065360713197498
S17,0.000960683888500957
S18,0.0009205793736711317
S19,0.0008405250657400274
S20,0.0007866034575827426
S21,0.0007735299366112251
S22,0.0007153317281608926
S23,0.0006921755575864817
S24,0.0006238517086561068
M1,0.0005432373692991232
M2,0.0005266455289693637
M3,0.0004889336023108954
M4,0.0004489836180944922
M5,0.00039880002464926905
M6,0.00035682871085316025
M7,0.0003094178487601191
M8,0.00028140123210960863
M9,0.0002656856916091522
M10,0.00024316276831469398
M11,0.0002023555634602005
M12,0.0001828901642463792
M13,0.00014908016745544917
M14,0.0001401831904317674
M15,0.00011390574852196921
M16,7.446457245429943e-05
M17,5.0041263718357906e-05
M18,3.9661201217551314e-05
M19,2.2980924372933565e-26
M20,1.1375042152700102e-27
M21,1.1375042152700102e-27
M22,1.1375042152700102e-27
M23,1.1375042152700102e-27
M24,1.1375042152700102e-27
M25,1.1375042152700102e-27
M26,1.1375042152700102e-27
M27,1.1375042152700102e-27
M28,1.1375042152700102e-27
M29,1.1375042152700102e-27
M30,1.1375042152700102e-27
M31,1.1375042152700102e-27
M32,1.1375042152700102e-27
M33,1.1375042152700102e-27
M34,1.1375042152700102e-27
M35,1.1375042152700102e-27
M36,1.1375042152700102e-27
M37,1.1375042152700102e-27
M38,1.1375042152700102e-27
M39,1.1375042152700102e-27
M40,1.1375042152700102e-27
M41,1.1375042152700102e-27
M42,1.1375042152700102e-27
placeholder,1.5122566367691152e-28
